0,1,2,3,4,5,6,7,8
135,16,71,44,7,79,62,13,73
121,19,70,55,12,65,59,11,88
140,24,60,48,11,67,68,19,63
128,15,75,56,10,68,59,18,71
137,10,63,57,11,69,61,14,78
146,16,56,55,9,75,62,7,74
120,19,68,52,12,66,80,18,65
128,16,73,47,9,73,62,11,81
130,16,75,59,9,74,59,16,62
144,10,50,55,14,80,67,12,68
139,21,70,46,4,63,69,11,77
127,14,58,61,13,76,58,12,81
144,17,57,45,5,86,66,12,68
140,17,57,47,6,93,62,12,66
153,19,69,39,7,76,53,12,72
121,23,64,52,11,67,57,10,95
147,11,45,48,10,80,60,16,83
133,16,67,51,11,76,60,8,78
147,14,61,39,9,69,52,19,90
130,18,66,52,13,75,78,11,57
140,15,80,47,7,78,52,9,72
127,13,66,51,14,76,61,11,81
139,19,50,48,11,71,64,8,90
126,19,72,52,7,72,60,10,82
142,20,63,50,10,70,62,7,76
136,15,80,53,6,76,49,11,74
113,20,69,46,9,84,60,14,85
129,15,80,60,8,68,50,10,80
137,16,64,63,12,58,67,14,69
134,12,68,45,8,71,68,17,77
142,13,77,50,5,61,62,8,82
135,19,65,56,9,66,63,10,77
118,28,58,57,10,82,60,12,75
140,18,59,60,8,76,56,13,70
138,14,78,64,7,75,50,12,62
141,18,63,52,5,76,54,14,77
134,18,64,51,7,93,59,8,66
141,13,64,49,11,78,59,9,76
121,14,50,65,9,79,72,5,85
158,23,58,51,6,62,60,12,70
125,19,59,55,13,72,69,14,74
142,21,60,57,11,89,50,9,61
144,16,66,46,7,63,58,10,90
137,21,56,63,6,83,51,12,71
136,15,63,56,17,77,60,13,63
145,9,62,52,6,82,50,18,76
152,10,65,44,13,86,62,10,58
143,11,55,49,10,78,60,18,76
143,13,65,51,7,73,51,13,84
127,20,74,54,8,78,60,17,62
148,11,70,50,10,81,57,4,69
139,19,75,42,8,72,59,7,79
127,24,62,54,10,73,73,13,64
136,21,43,61,9,74,74,11,71
139,14,46,51,12,83,65,14,76
138,15,62,49,7,69,69,10,81
129,17,61,52,9,86,49,8,89
137,16,59,46,7,79,77,8,71
125,15,66,52,10,73,73,10,76
132,11,57,42,16,75,68,11,88
132,12,61,72,7,81,53,9,73
122,15,83,49,7,74,70,14,66
127,12,69,49,6,87,73,7,70
139,16,57,51,11,83,58,13,72
135,16,57,51,6,61,67,13,94
137,14,59,58,7,76,59,17,73
144,14,65,51,5,70,61,14,76
123,20,55,60,11,73,61,11,86
124,18,67,51,8,76,67,9,80
126,16,60,66,7,80,67,14,64
126,23,62,72,6,60,69,8,74
136,12,68,56,11,73,53,15,76
130,17,74,35,8,78,56,16,86
153,17,67,46,5,77,48,12,75
145,18,54,44,8,89,65,5,72
142,17,54,37,16,69,70,19,76
134,23,51,47,9,70,64,11,91
131,14,85,46,8,61,71,13,71
128,19,69,61,7,74,64,8,70
121,14,84,61,8,58,63,14,77
124,15,68,45,9,80,61,14,84
114,18,72,64,7,73,59,12,81
145,15,63,61,11,67,53,14,71
125,19,64,53,13,85,58,14,69
126,13,57,63,7,64,67,12,91
150,12,45,45,14,82,64,15,73
138,20,58,53,12,65,58,19,77
139,11,61,59,10,69,66,11,74
116,21,66,56,7,91,67,9,67
150,15,57,59,13,64,58,9,75
124,19,71,39,11,83,67,18,68
125,15,61,60,7,75,65,10,82
139,18,64,50,6,80,57,15,71
131,22,61,47,7,83,65,7,77
124,18,63,55,11,76,85,4,64
151,20,61,58,6,67,58,10,69
133,15,69,48,6,77,71,16,65
121,15,63,60,10,78,60,13,80
137,14,66,53,8,70,66,9,77
118,19,42,57,9,94,61,14,86
142,20,60,51,6,77,44,15,85
122,20,76,56,6,61,66,9,84
142,13,66,49,11,74,54,15,76
141,8,67,61,6,67,54,16,80
153,17,53,49,8,75,61,13,71
131,15,69,56,7,73,57,11,81
123,18,61,63,7,80,67,10,71
139,14,55,66,12,66,62,15,71
133,21,65,51,12,66,55,13,84
153,6,68,40,7,79,56,11,80
119,15,65,49,7,93,60,5,87
153,11,67,58,5,62,62,15,67
128,9,68,59,5,77,59,13,82
142,15,59,52,11,70,67,13,71
129,17,73,46,12,62,58,14,89
143,15,78,45,7,70,61,7,74
133,18,77,53,6,72,56,13,72
148,15,50,47,6,90,59,16,69
147,14,66,58,6,62,56,10,81
136,19,47,51,13,80,65,14,75
130,25,60,46,12,83,57,9,78
130,12,50,55,9,83,64,17,80
133,15,67,48,10,79,59,5,84
147,19,73,46,9,68,47,9,82
137,12,60,43,7,84,66,20,71
144,24,65,45,5,87,57,13,60
136,10,75,52,14,84,46,14,69
142,14,81,42,12,60,62,16,71
140,20,58,55,7,73,57,12,78
135,18,59,69,8,72,70,9,60
141,12,88,44,7,75,54,6,73
146,13,74,58,8,64,54,17,66
126,20,67,54,12,77,59,17,68
119,12,77,50,5,66,71,14,86
143,12,60,47,11,73,67,7,80
126,16,78,62,11,84,56,5,62
160,13,56,51,8,79,62,9,62
129,19,58,53,10,85,56,18,72
122,19,60,43,11,76,79,15,75
129,11,82,52,8,68,53,13,84
113,16,68,51,9,81,56,9,97
136,23,70,46,5,64,53,15,88
146,15,58,49,9,68,67,12,76
144,17,62,58,8,70,54,11,76
112,16,52,54,7,85,75,14,85
143,15,63,47,8,84,57,17,66
125,16,63,45,11,81,61,15,83
131,18,71,42,6,62,72,16,82
120,12,70,61,15,79,61,14,68
147,19,69,45,16,68,43,16,77
133,8,69,49,10,72,64,7,88
141,16,83,39,9,65,58,11,78
133,13,65,47,12,81,66,19,64
131,19,57,55,6,83,63,10,76
129,16,76,45,7,85,54,14,74
111,7,79,51,14,86,67,8,77
126,16,69,44,13,79,64,15,74
126,12,68,60,9,65,64,16,80
133,19,70,55,10,75,59,8,71
145,18,60,52,8,86,55,12,64
124,24,64,60,8,74,53,18,75
132,15,69,50,9,72,63,12,78
125,16,66,45,9,83,68,10,78
152,17,60,48,7,66,56,12,82
120,10,77,63,7,79,59,16,69
116,16,73,59,13,79,55,15,74
132,23,60,44,5,78,63,12,83
134,20,57,48,8,93,52,12,76
135,20,71,56,7,68,64,10,69
131,11,59,58,3,73,67,7,91
136,18,59,44,4,85,79,7,68
148,12,65,53,6,60,66,14,76
130,12,62,49,8,66,74,23,76
148,15,73,50,8,71,52,11,72
130,18,79,49,8,70,57,9,80
122,16,81,48,10,74,74,11,64
124,24,70,46,4,75,65,11,81
128,16,62,56,11,73,58,11,85
118,21,59,44,11,87,67,21,72
148,15,66,51,10,70,63,12,65
130,15,64,48,9,81,79,6,68
133,14,68,56,16,61,71,8,73
127,16,74,59,8,68,60,10,78
134,10,57,53,4,82,70,13,77
134,17,59,48,9,77,60,12,84
137,17,73,53,8,65,59,13,75
117,22,71,46,11,75,68,13,77
135,19,48,55,7,72,66,12,86
141,13,63,59,9,76,66,9,64
138,15,63,52,15,66,69,14,68
154,15,69,39,14,62,60,9,78
117,14,64,64,9,75,76,11,70
134,19,67,64,4,78,62,7,65
