0,1,2,3,4,5,6,7,8
117,54,164,196,96,134,62,41,136
126,30,185,193,86,126,59,48,147
120,36,170,218,81,133,58,52,132
131,40,149,214,64,146,57,46,153
132,42,154,201,92,130,46,63,140
136,51,148,206,84,125,58,44,148
119,35,175,215,83,121,53,45,154
126,45,166,199,92,138,58,41,135
125,37,168,193,91,145,58,40,143
119,43,160,248,90,116,44,31,149
149,34,168,191,94,120,69,44,131
120,42,163,191,90,139,58,47,150
127,37,158,206,75,124,68,42,163
121,47,174,206,94,126,56,47,129
124,38,150,223,92,125,47,46,155
130,34,188,201,87,112,59,50,139
117,36,169,216,83,134,45,50,150
129,36,167,200,108,121,65,41,133
128,35,178,200,88,121,59,43,148
130,33,186,195,81,126,57,50,142
126,38,149,210,96,153,59,41,128
138,32,180,201,82,131,68,36,132
126,29,150,228,84,122,62,47,152
150,34,150,196,84,135,54,31,166
128,39,173,192,88,140,59,48,133
125,33,161,197,83,131,67,56,147
148,35,161,191,93,150,54,41,127
121,49,155,191,84,139,67,40,154
132,36,157,203,95,142,64,29,142
114,34,168,204,92,130,57,43,158
126,38,177,184,94,127,65,42,147
135,37,167,198,87,129,49,50,148
129,35,186,199,87,129,49,47,139
132,34,169,206,92,118,45,47,157
122,45,143,209,98,124,55,33,171
144,42,145,208,81,145,61,40,134
143,39,173,214,82,128,53,38,130
135,34,157,206,86,145,65,42,130
110,37,169,221,95,136,49,42,141
118,52,148,186,96,157,55,49,139
128,40,153,201,103,129,63,52,131
137,30,156,213,81,127,56,59,141
124,31,132,206,111,127,55,45,169
105,42,160,193,97,150,67,40,146
146,29,146,205,91,129,57,52,145
138,31,165,207,92,119,56,47,145
138,30,183,191,89,130,52,47,140
130,35,169,198,87,133,64,49,135
121,29,176,234,73,137,51,37,142
114,32,147,222,105,127,58,37,158
128,43,160,213,97,130,52,39,138
126,35,165,194,80,135,53,41,171
148,38,141,213,97,132,64,47,120
119,35,172,212,85,131,56,43,147
130,46,161,224,83,124,51,36,145
124,39,145,220,93,137,55,47,140
126,27,181,190,91,136,58,58,133
121,38,170,209,77,132,60,33,160
129,39,147,209,94,126,60,38,158
135,41,179,199,89,140,65,29,123
130,48,159,201,103,115,63,32,149
128,46,159,209,88,125,52,44,149
140,40,157,189,104,114,59,62,135
126,47,162,193,92,134,52,37,157
150,48,145,174,90,137,52,39,165
134,29,174,208,103,123,51,45,133
130,56,159,203,72,126,57,50,147
146,39,147,216,82,116,65,54,135
130,35,166,205,74,142,53,37,158
122,45,166,195,91,135,54,62,130
133,45,152,193,78,142,59,42,156
122,38,163,205,96,132,56,47,141
116,38,164,218,106,132,55,34,137
128,49,158,196,94,128,60,50,137
124,26,187,212,86,131,58,42,134
138,44,172,178,91,132,74,47,124
136,39,159,196,93,136,60,52,129
131,33,153,186,108,146,48,45,150
125,40,148,219,87,131,53,38,159
135,35,167,197,96,118,68,34,150
120,26,161,220,82,130,69,50,142
139,56,128,213,99,125,60,48,132
124,44,162,187,96,142,67,42,136
121,28,166,217,85,130,68,47,138
119,35,166,207,92,135,51,56,139
140,31,158,197,105,129,48,44,148
122,26,152,213,103,135,55,47,147
123,42,168,199,84,136,56,47,145
132,43,155,184,85,141,53,56,151
127,36,157,224,84,127,52,38,155
137,37,177,199,83,142,56,45,124
122,32,172,208,98,117,57,46,148
130,33,174,208,89,132,47,46,141
123,40,154,201,76,155,63,41,147
123,48,140,195,93,137,64,48,152
130,38,159,203,102,137,59,40,132
128,36,176,208,76,120,59,58,139
130,35,188,182,89,152,55,41,128
109,42,177,190,92,134,60,47,149
139,39,148,188,91,142,58,38,157
132,39,149,204,95,140,51,39,151
135,45,145,225,105,123,55,42,125
138,35,170,211,72,133,51,41,149
146,33,170,191,81,132,58,53,136
134,38,154,185,111,133,55,45,145
135,38,178,201,86,134,61,41,126
120,36,177,209,84,125,74,42,133
131,39,158,215,83,140,57,38,139
120,30,175,180,92,136,58,44,165
128,51,168,201,79,133,51,51,138
131,47,166,187,84,133,51,50,151
111,40,157,214,99,139,56,47,137
109,43,159,211,92,123,62,47,154
119,54,153,218,99,137,39,50,131
132,33,176,187,105,120,58,47,142
125,32,165,212,85,127,77,57,120
136,26,154,194,83,155,58,50,144
118,27,163,219,96,136,55,48,138
124,40,176,185,98,139,58,39,141
125,38,175,195,85,136,49,38,159
133,37,178,202,84,130,55,49,132
136,34,159,204,86,139,64,45,133
123,46,148,206,87,140,62,53,135
140,46,168,209,105,94,66,38,134
134,40,159,204,94,149,47,43,130
129,27,166,202,107,144,46,38,141
136,38,164,197,100,136,61,45,123
136,49,161,205,88,124,50,44,143
111,39,161,204,103,137,64,43,138
111,39,142,206,85,147,70,43,157
125,43,164,204,90,128,66,48,132
135,46,154,197,96,140,59,45,128
136,41,179,214,82,122,68,41,117
114,51,164,194,89,129,63,40,156
121,40,156,211,95,138,46,42,151
139,43,155,201,96,124,59,45,138
142,44,140,212,92,142,63,42,123
101,39,164,214,103,135,63,37,144
125,43,165,202,92,137,49,42,145
130,50,164,189,96,138,61,44,128
135,36,151,209,87,138,54,47,143
117,31,171,206,94,133,56,50,142
126,38,157,193,98,145,67,42,134
122,34,169,204,81,149,41,46,154
127,38,162,234,73,119,49,43,155
129,43,150,225,99,136,55,37,126
144,39,170,196,91,134,51,38,137
128,39,162,199,79,125,53,60,155
124,30,178,206,92,132,63,40,135
117,30,172,206,83,147,51,35,159
135,55,166,211,89,116,65,39,124
126,47,157,185,106,122,56,47,154
127,35,162,200,90,120,60,57,149
115,22,156,207,105,131,61,53,150
113,39,156,205,87,160,51,49,140
130,42,171,201,79,129,53,51,144
150,35,165,206,78,119,54,54,139
128,41,162,194,81,143,58,40,153
140,32,159,228,83,127,52,54,125
140,43,159,191,73,149,64,40,141
121,37,173,215,89,136,64,44,121
125,48,166,210,91,127,60,32,141
144,37,157,208,92,131,56,45,130
112,35,164,193,81,145,62,53,155
123,35,160,196,77,176,43,35,155
132,36,173,183,76,159,60,38,143
126,38,170,211,104,116,62,55,118
129,35,157,189,97,123,63,48,159
133,46,141,214,92,134,49,51,140
124,29,178,198,80,109,72,51,159
122,41,139,214,90,130,73,41,150
103,30,181,206,75,141,55,42,167
125,39,135,229,104,112,62,49,145
136,35,152,198,102,136,53,47,141
141,37,154,222,83,137,58,41,127
121,33,145,210,98,139,55,51,148
104,32,166,219,78,152,65,41,143
